 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
97,"Middle of the Ocean","Drake",76,9A,71,2026-08-10,05:56,67,"rap","Hip Hop","Her Loss",2022-11-04,62,16,0,26,30,30,-6,E minor,4,410TZrK18uRjtsTunG14cl,"OVO / Republic Records",USUG12208609,yes
98,"More M’s","Drake, 21 Savage",82,3B,50,2026-08-10,03:41,63,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,71,3,0,7,20,10,-7,C♯/D♭,4,29YW2xXlo6Pc6M0SBTCXYN,"OVO / Republic Records",USUG12208611,yes
99,"Make Them Cry","Drake",80,3B,66,2026-08-10,05:07,77,"rap","Hip Hop","ICEMAN",2026-05-15,50,35,0,40,40,10,-7,C♯/D♭,4,55wlsNYqcfiQsHuX8l0jmF,"OVO/Republic",USUG12602487,yes
100,"Dust","Drake",138,6A,56,2026-08-10,03:09,79,"rap","Hip Hop","ICEMAN",2026-05-15,73,3,0,18,10,10,-5,G minor,4,4eE16RJFDKf2WxBTqqfylu,"OVO/Republic",USUG12602488,yes
101,"Whisper My Name","Drake",124,10A,57,2026-08-10,03:42,85,"rap","Hip Hop","ICEMAN",2026-05-15,88,7,0,47,10,10,-6,B minor,4,7KGHenqXZofXNm5MKDbT3J,"OVO/Republic",USUG12602489,yes
102,"Janice STFU","Drake",126,3B,48,2026-08-10,03:57,93,"rap","Hip Hop","ICEMAN",2026-05-15,79,8,0,19,0,10,-8,C♯/D♭,4,514joG57v4yKTsfQmz7stz,"OVO/Republic",USUG12604763,yes
103,"Ran To Atlanta (feat. Future & Molly Santana)","Drake, Future, Molly Santana",140,3B,58,2026-08-10,04:07,84,"rap, trap, rage rap, underground hip hop","Hip Hop","ICEMAN",2026-05-15,56,3,0,28,20,10,-7,C♯/D♭,4,3DK90400cDlV5WUJPraMph,"OVO/Republic",USUG12604764,yes
104,"Shabang","Drake",117,1A,53,2026-08-10,03:08,86,"rap","Hip Hop","ICEMAN",2026-05-15,86,11,0,64,10,10,-6,G#/A♭ minor,4,6vjpQIdABqntoe3zPazPec,"OVO/Republic",USUG12604765,yes
105,"Make Them Pay","Drake",162,4A,93,2026-08-10,05:01,77,"rap","Hip Hop","ICEMAN",2026-05-15,55,30,0,62,30,10,-5,F minor,4,57rkFdhoKjgkg16fsS4pgg,"OVO/Republic",USUG12604766,yes
106,"Burning Bridges","Drake",130,2A,52,2026-08-10,03:45,78,"rap","Hip Hop","ICEMAN",2026-05-15,74,34,0,22,0,10,-6,D#/E♭ minor,4,1ijYk2EYwj0rGqYwtjiAUJ,"OVO/Republic",USUG12604767,yes
107,"National Treasures","Drake",193,1B,71,2026-08-10,03:20,88,"rap","Hip Hop","ICEMAN",2026-05-15,40,13,0,31,20,40,-6,B,3,393OFJFZKIIv66JmJcNm9D,"OVO/Republic",USUG12604768,yes
108,"Plot Twist","Drake",123,3B,52,2026-08-10,03:15,82,"rap","Hip Hop","ICEMAN",2026-05-15,83,12,0,61,0,50,-7,C♯/D♭,4,3cLCA9LSb6UiOeNvTZoaav,"OVO/Republic",USUG12604770,yes
109,"2 Hard 4 The Radio","Drake",111,10A,75,2026-08-10,03:03,81,"rap","Hip Hop","ICEMAN",2026-05-15,66,4,0,63,10,30,-7,B minor,4,7COiiObIVJIdBcW3J43Iy2,"OVO/Republic",USUG12604771,yes
110,"Make Them Remember","Drake",86,3B,88,2026-08-10,05:23,73,"rap","Hip Hop","ICEMAN",2026-05-15,61,17,0,49,20,20,-4,C♯/D♭,4,73ycOMnODtUc2Ggj6EfCpO,"OVO/Republic",USUG12604773,yes
111,"Don’t Worry","Drake",150,7B,58,2026-08-10,04:06,77,"rap","Hip Hop","ICEMAN",2026-05-15,68,1,0,25,0,0,-9,F,4,6cYGpGmnMeK9qWhRpaZOZ5,"OVO/Republic",USUG12604775,yes
112,"Firm Friends","Drake",80,7B,70,2026-08-10,05:02,73,"rap","Hip Hop","ICEMAN",2026-05-15,68,45,0,87,20,10,-7,F,4,3rssNOLucK9fzsRcKonhYu,"OVO/Republic",USUG12604776,yes
113,"Make Them Know","Drake",120,3B,56,2026-08-10,04:08,77,"rap","Hip Hop","ICEMAN",2026-05-15,70,57,0,23,30,10,-8,C♯/D♭,4,1xO3PpGchMqMmmF6OEtH5Y,"OVO/Republic",USUG12604777,yes
114,"WNBA","Drake",118,4B,48,2026-08-10,02:58,80,"rap","Hip Hop","HABIBTI",2026-05-15,45,25,0,7,0,10,-12,G#/A♭,4,6zZvy88xp6FIjJKhqwnJeQ,"OVO/Republic",USUG12602382,yes
115,"Slap The City (feat. Qendresa)","Drake, Qendresa",124,11A,47,2026-08-10,03:22,75,"rap, alternative r&b","Pop, R&B, Hip Hop","HABIBTI",2026-05-15,82,71,0,42,20,10,-8,F#/G♭ minor,4,3nwcQXP0mBmXmlrirQxCkz,"OVO/Republic",USUG12602383,yes
116,"High Fives","Drake",143,3B,70,2026-08-10,04:16,73,"rap","Hip Hop","HABIBTI",2026-05-15,48,2,0,55,20,30,-6,C♯/D♭,4,6vAg7qqbiIrQhQtxPegLw1,"OVO/Republic",USUG12602384,yes
117,"Classic","Drake",125,7B,41,2026-08-10,02:59,75,"rap","Hip Hop","HABIBTI",2026-05-15,59,19,0,28,0,10,-7,F,4,3hZbi8AG14hRw5Skg7V8pl,"OVO/Republic",USUG12602441,yes
118,"Gen 5","Drake",117,4A,40,2026-08-10,03:37,72,"rap","Hip Hop","HABIBTI",2026-05-15,79,18,0,12,0,10,-7,F minor,4,0s3NwbrNRsUTVJVdBeD5Wa,"OVO/Republic",USUG12602442,yes
119,"White Bone","Drake",118,4A,35,2026-08-10,04:57,73,"rap","Hip Hop","HABIBTI",2026-05-15,49,84,0,4,0,10,-11,F minor,4,6o6cIHT9YvlrUD2bOHo4hB,"OVO/Republic",USUG12602443,yes
120,"Fortworth (feat. PARTYNEXTDOOR)","Drake, PARTYNEXTDOOR",101,11B,19,2026-08-10,03:51,77,"rap, dark r&b, r&b, trap soul","R&B, Hip Hop","HABIBTI",2026-05-15,42,81,0,14,0,0,-11,A,4,0F1rlXkOcI1Iqfz9Y3BdO4,"OVO/Republic",USUG12602444,yes
121,"Hoe Phase","Drake",130,8A,53,2026-08-10,03:23,77,"rap","Hip Hop","MAID OF HONOUR",2026-05-15,53,24,0,33,10,0,-10,A minor,4,0O6lm9N6qJclxNFHl51nkr,"OVO/Republic",USUG12602459,yes
122,"Road Trips","Drake",126,12A,68,2026-08-10,04:03,77,"rap","Hip Hop","MAID OF HONOUR",2026-05-15,72,2,0,11,0,0,-8,C♯/D♭ minor,4,6p0Ai6wRjz9CmjqkhoKOwf,"OVO/Republic",USUG12602460,yes
123,"Outside Tweaking (feat. Stunna Sandy)","Drake, Stunna Sandy",143,2B,63,2026-08-10,03:10,65,"rap","Hip Hop","MAID OF HONOUR",2026-05-15,49,2,0,44,10,10,-8,F#/G♭,4,0EsJdOSOrBfTo816lWRW4Q,"OVO/Republic",USUG12602461,yes
124,"Amazing Shape (feat. Popcaan)","Drake, Popcaan",119,3B,33,2026-08-10,02:56,66,"rap, dancehall, soca, riddim, afrobeats, reggae, ragga","R&B, Traditional Music, Reggae, Hip Hop, Electronic, Latin","MAID OF HONOUR",2026-05-15,77,7,0,21,30,10,-10,C♯/D♭,3,6hFjD546JTuTsUS6GawtVF,"OVO/Republic",USUG12602463,yes
125,"True Bestie (feat. Iconic Savvy)","Drake, Iconic Savvy",78,11A,58,2026-08-10,02:28,66,"rap, footwork","Electronic, Hip Hop","MAID OF HONOUR",2026-05-15,49,17,0,18,40,40,-10,F#/G♭ minor,4,5njYiWKlMfU1HkOyetTRg8,"OVO/Republic",USUG12602465,yes
126,"New Bestie","Drake",125,4A,58,2026-08-10,04:19,73,"rap","Hip Hop","MAID OF HONOUR",2026-05-15,86,8,0,55,20,10,-8,F minor,4,5dYyoRxPWVaV36XSD49yGS,"OVO/Republic",USUG12602467,yes
127,"Q&A","Drake",129,11A,45,2026-08-10,03:43,68,"rap","Hip Hop","MAID OF HONOUR",2026-05-15,49,23,0,15,0,10,-9,F#/G♭ minor,4,7ppIKUHCFQGCQny1Se2jLV,"OVO/Republic",USUG12602468,yes
128,"Stuck","Drake",111,8B,55,2026-08-10,02:57,67,"rap","Hip Hop","MAID OF HONOUR",2026-05-15,82,5,0,79,0,0,-8,C,4,02nXNKtNtO04TwnJpQrEWN,"OVO/Republic",USUG12602469,yes
129,"Princess","Drake",168,8B,43,2026-08-10,03:13,68,"rap","Hip Hop","MAID OF HONOUR",2026-05-15,45,51,0,23,0,30,-9,C,4,2OrkG4TIWdm5ZhBwpbr3o0,"OVO/Republic",USUG12602471,yes
130,"Miss Me","Drake, Lil Wayne",100,10B,86,2026-08-10,05:05,66,"rap, hip hop","Hip Hop","Thank Me Later",2010-01-01,43,8,0,33,60,30,-6,D,5,1U4mweNwisxNj23ffuC9gO,"Aspire Music Group, LLC",USCM51000210,yes
131,"Pain 1993 (with Playboi Carti)","Drake, Playboi Carti",77,4A,37,2026-08-10,02:29,73,"rap, rage rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,83,16,0,12,10,30,-6,F minor,4,6Kj17Afjo1OKJYpf5VzCeo,"OVO",USUG12001746,yes
132,"Doing It Wrong","Drake",101,11A,17,2026-08-10,04:25,78,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,40,84,0,12,0,10,-16,F#/G♭ minor,4,4eSGSqP2TZvvX0kadZZttM,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100564,yes
133,"Lust For Life","Drake",87,2B,42,2026-08-10,02:56,72,"rap","Hip Hop","So Far Gone",2009-00-00,46,94,3,9,10,10,-10,F#/G♭,4,1v24T2ug4TlssYZvI3aL4O,"Young Money/Cash Money Records",USCM51900146,yes
134,"Houstatlantavegas","Drake",135,12A,70,2026-08-10,04:50,73,"rap","Hip Hop","So Far Gone",2009-00-00,68,39,0,41,0,10,-7,C♯/D♭ minor,4,3XLSlQLJf3Ut0zvMUxnF1h,"Young Money/Cash Money Records",USCM51900159,yes
135,"Successful (feat. Trey Songz & Lil Wayne)","Drake, Trey Songz, Lil Wayne",160,4B,54,2026-08-10,06:15,64,"rap, r&b, hip hop","Hip Hop, R&B","So Far Gone",2009-00-00,56,54,0,23,30,10,-5,G#/A♭,4,6NwhtCYkfwWlcR62Ac4E7y,"Young Money/Cash Money Records",USCM51900150,yes
136,"Let’s Call It Off (feat. Peter Bjorn and John)","Drake, Peter Bjorn and John",127,8A,73,2026-08-10,03:54,64,"rap, indie","Pop, Rock, Hip Hop","So Far Gone",2009-00-00,79,0,29,94,0,10,-5,A minor,4,4FDSPGncHRpr6yB8DD4CtI,"Young Money/Cash Money Records",USCM51900152,yes
137,"November 18th","Drake",72,10A,48,2026-08-10,03:08,62,"rap","Hip Hop","So Far Gone",2009-00-00,75,58,0,53,50,10,-11,B minor,4,0JaVdpmiex2EP7bBzyKVTa,"Young Money/Cash Money Records",USCM51900155,yes
138,"Ignant Shit (feat. Lil Wayne)","Drake, Lil Wayne",95,9B,85,2026-08-10,05:02,58,"rap, hip hop","Hip Hop","So Far Gone",2009-00-00,59,19,0,12,20,40,-4,G,4,2hcohLIysMxofYziluXCoX,"Young Money/Cash Money Records",USCM51900156,yes
139,"A Night Off (feat. Lloyd)","Drake, Lloyd",104,10A,51,2026-08-10,03:13,63,"rap, r&b","R&B, Hip Hop","So Far Gone",2009-00-00,61,37,0,37,0,10,-6,B minor,4,3lkkkYc1wBj5l3FVlpqvP6,"Young Money/Cash Money Records",USCM51900157,yes
140,"Say What's Real","Drake",86,4B,77,2026-08-10,03:50,58,"rap","Hip Hop","So Far Gone",2009-00-00,46,63,0,46,20,20,-5,G#/A♭,4,7mPoCVGP752A5DtHf1SKkM,"Young Money/Cash Money Records",USCM51900158,yes
141,"Sooner Than Later","Drake",95,4A,50,2026-08-10,04:22,61,"rap","Hip Hop","So Far Gone",2009-00-00,62,18,0,51,20,10,-6,F minor,4,43iKgGbmfqPLh3mxUlospI,"Young Money/Cash Money Records",USCM51900147,yes
142,"The Calm","Drake",161,10A,78,2026-08-10,04:03,56,"rap","Hip Hop","So Far Gone",2009-00-00,47,82,0,26,80,10,-8,B minor,4,6MlGqWzDiLkZ0vmAEsisEk,"Young Money/Cash Money Records",USCM51900149,yes
143,"Brand New","Drake",95,2B,49,2026-08-10,03:33,61,"rap","Hip Hop","So Far Gone",2009-00-00,40,63,0,36,0,10,-9,F#/G♭,3,4XTXamS1g4g93jPxyuFJJ6,"Young Money/Cash Money Records",USCM51900153,yes
144,"Congratulations","Drake",87,2B,86,2026-08-10,05:32,53,"rap","Hip Hop","So Far Gone",2009-00-00,33,2,0,13,10,20,-2,F#/G♭,5,3SnXwQUrvSacFziUYXTNKY,"Young Money/Cash Money Records",USCM51900154,yes
145,"Free Smoke","Drake",142,3A,49,2026-08-10,03:38,64,"rap","Hip Hop","More Life",2017-03-18,74,7,0,20,40,50,-7,A#/B♭ minor,4,05KOgYg8PGeJyyWBPi5ja8,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700056,yes
146,"MELTDOWN (feat. Drake)","Travis Scott, Drake",112,6A,77,2026-08-10,04:06,76,"rap","Hip Hop","UTOPIA",2023-07-28,56,1,0,40,30,40,-5,G minor,4,67nepsnrcZkowTxMWigSbb,"Cactus Jack/Epic",USSM12305021,yes
147,"Cabaret (feat. Drake)","Justin Timberlake, Drake",120,4B,74,2026-08-10,04:32,45,"dance pop, pop, rap","Electronic, Pop, Hip Hop","The 20/20 Experience - 2 of 2 (Deluxe)",2013-09-27,69,11,0,33,0,20,-5,G#/A♭,4,4FcvYEVtmB0UuIPbdzwqsH,"RCA Records Label",USRC11301017,yes
148,"Summer Sixteen","Drake",146,3B,46,2026-08-10,03:22,58,"rap","Hip Hop","Summer Sixteen",2016-02-05,59,0,0,5,30,10,-8,C♯/D♭,4,17Q87zeXgsAi9iQQbMu9v0,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600001,yes
149,"Back on Road","Gucci Mane, Drake",148,12A,67,2026-08-10,02:29,55,"southern hip hop, rap, trap","Hip Hop","Everybody Looking",2016-07-22,83,33,0,75,30,10,-7,C♯/D♭ minor,4,39liuGHPxn2sAyvO6DINor,"Guwop Enterprises/Atlantic",USAT21601831,yes
150,"U With Me?","Drake",175,10B,43,2026-08-10,04:57,69,"rap","Hip Hop","Views",2016-05-06,43,34,0,13,10,10,-11,D,4,03L2AoiRbWhvt7BDMx1jUB,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600065,yes
151,"Feel No Ways","Drake",194,9B,68,2026-08-10,04:00,79,"rap","Hip Hop","Views",2016-05-06,58,3,0,21,10,10,-7,G,4,3cjF2OFRmip8spwZYQRKxP,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600067,yes
152,"Hype","Drake",130,9A,64,2026-08-10,03:29,62,"rap","Hip Hop","Views",2016-05-06,79,3,0,24,10,30,-8,E minor,4,5NFYuqu8V6QXc6mzcLImd6,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600069,yes
153,"Weston Road Flows","Drake",83,3B,74,2026-08-10,04:13,69,"rap","Hip Hop","Views",2016-05-06,62,6,0,35,30,30,-7,C♯/D♭,4,4PA16FAl8LPmFmOhARawdV,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600070,yes
154,"Redemption","Drake",120,8B,31,2026-08-10,05:33,71,"rap","Hip Hop","Views",2016-05-06,69,61,0,34,10,10,-8,C,4,4cRBqWBjuccCowYVHFlXK6,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600072,yes
155,"With You","Drake, PARTYNEXTDOOR",128,3B,41,2026-08-10,03:15,65,"rap, dark r&b, r&b, trap soul","R&B, Hip Hop","Views",2016-05-06,88,13,0,78,20,10,-10,C♯/D♭,4,3aJkV6DUTSCqOwVwaBDG9B,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600074,yes
156,"Still Here","Drake",134,8B,43,2026-08-10,03:09,67,"rap","Hip Hop","Views",2016-05-06,83,3,0,23,10,60,-10,C,3,433P7tDcIAi6NLnf4Sh6tI,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600078,yes
157,"Grammys","Drake, Future",146,3B,43,2026-08-10,03:40,62,"rap, trap","Hip Hop","Views",2016-05-06,68,0,0,12,50,0,-10,C♯/D♭,4,5e574bhjycX1eH2l4Auage,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600082,yes
158,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix","Future, DaBaby, Drake, Lil Baby",142,7B,57,2026-08-10,05:15,54,"rap, trap, hip hop, north carolina hip hop, pop rap, atl hip hop, atl trap","Hip Hop, Pop","Life Is Good (feat. Drake, DaBaby & Lil Baby) [Remix]",2020-02-15,81,11,0,58,40,10,-8,F,4,4iiWcajF1fEUpwcUewc464,"Epic/Freebandz",USSM12001024,yes
159,"Life Is Good (feat. Drake)","Future, Drake",142,7A,57,2026-08-10,03:57,79,"rap, trap","Hip Hop","High Off Life",2020-05-15,80,7,0,54,40,10,-7,D minor,4,1K5KBOgreBi5fkEHvg5ap3,"Epic/Freebandz",USSM11914962,yes
160,"Can I","Drake",85,9A,18,2026-08-10,03:09,70,"rap","Hip Hop","Care Package",2019-08-02,64,48,1,7,0,10,-9,E minor,4,3e0ZGE7Gp034iLknjQk4QW,"OVO",USUG11902759,yes
161,"Push Ups","Drake",91,10B,70,2026-08-10,03:52,73,"rap","Hip Hop","Push Ups",2024-04-19,60,2,0,21,10,20,-5,D,4,3eh51r6rFWAlGQRlHx9QnQ,"OVO/Republic",USUG12402283,yes
162,"Under Ground Kings","Drake",156,4B,71,2026-08-10,03:32,69,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,49,0,0,40,20,20,-7,G#/A♭,4,1D9XLqQp2YYiOxrr5KLb8K,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100554,yes
163,"Show Me A Good Time","Drake",128,11A,73,2026-08-10,03:30,64,"rap","Hip Hop","Thank Me Later",2010-01-01,67,4,0,70,10,10,-6,F#/G♭ minor,4,7v0hKO3RYhEXt2EPXf4AOS,"Aspire Music Group, LLC",USCM51000254,yes
164,"5 Am in Toronto","Drake",87,10A,88,2026-08-10,03:25,63,"rap","Hip Hop","Care Package",2019-08-02,56,7,0,39,20,0,-4,B minor,4,0FnxK9FEAQyPJ284QcieNb,"OVO",USUG11902750,yes
165,"Jaded","Drake",116,8B,27,2026-08-10,04:22,75,"rap","Hip Hop","Scorpion",2018-06-29,76,4,0,4,0,10,-6,C,4,4c2xt1trwYZpMqPWY35Xi9,"Cash Money/Drake LP6",USCM51800227,yes
166,"The Remorse","Drake",75,8B,53,2026-08-10,05:51,63,"rap","Hip Hop","Certified Lover Boy",2021-09-03,47,81,0,64,20,20,-9,C,3,1cCXT1cErAY6tmIqHbodrt,"OVO",USUG12104415,yes
167,"Draft Day","Drake",166,4B,81,2026-08-10,04:26,58,"rap","Hip Hop","Care Package",2019-08-02,67,3,0,56,30,10,-4,G#/A♭,4,3W3FVHEDetkiRkkGKDmdir,"OVO",USUG11902748,yes
168,"6PM In New York","Drake",128,7B,85,2026-08-10,04:43,65,"rap","Hip Hop","If You're Reading This It's Too Late",2015-02-12,55,11,0,38,20,10,-4,F,3,5mZJwWdxAOR4xUvSGZvvMU,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500039,yes
169,"The Ride","Drake",156,5A,70,2026-08-10,05:51,71,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,56,52,0,79,20,30,-10,C minor,4,4xRxYWgAtL6pzRz94GlZlA,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100574,yes
170,"Days in The East","Drake",95,3B,36,2026-08-10,05:53,64,"rap","Hip Hop","Care Package",2019-08-02,73,35,0,4,10,0,-11,C♯/D♭,4,4czcw3NVLY0of5hTD7OufN,"OVO",USUG11902747,yes
171,"Shot For Me","Drake",143,10B,47,2026-08-10,03:44,78,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,57,6,0,18,20,50,-12,D,4,6Z01gUquJsjJC67uNWm6P0,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100545,yes
172,"Crew Love","Drake, The Weeknd",160,5A,55,2026-08-10,03:28,75,"rap, canadian contemporary r&b, canadian pop, pop","R&B, Pop, Hip Hop","Take Care (Deluxe)",2011-11-15,42,23,0,29,20,20,-9,C minor,4,0V4l4GQhgnWQGtCWpvA7va,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100546,yes
173,"Over My Dead Body","Drake",186,3B,57,2026-08-10,04:32,80,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,49,76,0,58,30,10,-10,C♯/D♭,4,2Gnsof1hvZzjE1xdLRpjtf,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100544,yes
174,"We'll Be Fine","Drake, Birdman",193,12A,49,2026-08-10,04:07,65,"rap, southern hip hop","Hip Hop","Take Care (Deluxe)",2011-11-15,39,0,0,22,40,60,-7,C♯/D♭ minor,4,7udsBKuqnJ5csWTAkR0vEI,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100556,yes
175,"Make Me Proud","Drake, Nicki Minaj",132,3B,49,2026-08-10,03:39,71,"rap, hip pop, pop, queens hip hop","Hip Hop, Pop","Take Care (Deluxe)",2011-11-15,68,0,0,36,10,10,-10,C♯/D♭,4,7yfg0Eer6UZZt5tZ1XdsWz,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100505,yes
176,"Lord Knows","Drake, Rick Ross",168,4A,89,2026-08-10,05:07,69,"rap, southern hip hop","Hip Hop","Take Care (Deluxe)",2011-11-15,42,8,0,30,30,80,-6,F minor,4,1QBwk6GTCxVdC2hoSw9tlM,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100558,yes
177,"The Real Her","Drake, Lil Wayne, André 3000",65,4B,31,2026-08-10,05:21,67,"rap, hip hop, ambient jazz","Easy Listening, Jazz, Hip Hop","Take Care (Deluxe)",2011-11-15,57,17,0,51,30,10,-14,G#/A♭,4,74atKkOasLOVzvqB6mYgga,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100566,yes
178,"SOMEBODY LOVES ME PT. 2","PARTYNEXTDOOR, Drake, Cash Cobain",124,2A,64,2026-08-10,03:01,70,"dark r&b, r&b, trap soul, rap, sexy drill, jersey club","R&B, Electronic, Hip Hop","SOMEBODY LOVES ME PT. 2",2025-09-05,59,71,0,71,10,0,-6,D#/E♭ minor,5,2aTf0R0TQCJJKcb0ipszD2,"OVO Sound",USLD91782809,yes
179,"Won't Be Late (feat. Drake)","Swae Lee, Drake",124,6A,59,2026-08-10,03:38,69,"melodic rap, rap, trap","Hip Hop","Won't Be Late (feat. Drake)",2019-08-16,92,8,0,33,0,10,-6,G minor,4,2sqsNXfN0HtgDEgaHXiUTa,"Eardruma Records/Interscope Records",USUM71916703,no
180,"Two Birds, One Stone","Drake",88,4B,84,2026-08-10,03:58,61,"rap","Hip Hop","Two Birds, One Stone",2016-10-28,53,34,0,36,20,10,-3,G#/A♭,4,3m62bJJXGyQKdR9XyRocnl,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600336,yes
181,"Omertà","Drake",164,2B,90,2026-08-10,03:39,58,"rap","Hip Hop","The Best In The World Pack",2019-06-15,65,3,0,69,30,20,-2,F#/G♭,4,3kCwyvhvVTyehIzYN2I0nF,"Republic Records",USCM51900312,yes
182,"How Bout Now","Drake",122,3B,40,2026-08-10,03:55,67,"rap","Hip Hop","Care Package",2019-08-02,79,21,0,47,20,20,-8,C♯/D♭,4,4n4BflhWjCHIxrI4v7Xt9s,"OVO",USUG11902745,yes
183,"10 Bands","Drake",173,10A,76,2026-08-10,02:57,64,"rap","Hip Hop","If You're Reading This It's Too Late",2015-02-12,83,27,0,89,30,0,-4,B minor,4,12d5QFwzh60IIHlsSnAvps,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500014,yes
184,"Wednesday Night Interlude","Drake, PARTYNEXTDOOR",135,8A,47,2026-08-10,03:32,65,"rap, dark r&b, r&b, trap soul","R&B, Hip Hop","If You're Reading This It's Too Late",2015-02-12,31,73,0,20,0,20,-8,A minor,4,6oLHyWvmk6bKrA91EIYZBp,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500041,yes
185,"You & The 6","Drake",154,6A,48,2026-08-10,04:24,64,"rap","Hip Hop","If You're Reading This It's Too Late",2015-02-12,55,17,0,22,20,10,-7,G minor,4,2YaDRtIlQiZ5WDDB2YuEOC,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500035,yes
186,"Company","Drake, Travis Scott",108,9B,55,2026-08-10,04:12,65,"rap","Hip Hop","If You're Reading This It's Too Late",2015-02-12,65,4,0,12,0,10,-8,G,4,6ImxYXeLDQPIv4qo7bMhSk,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500033,yes
187,"Jorja Interlude","Drake",123,1B,37,2026-08-10,01:47,64,"rap","Hip Hop","More Life",2017-03-18,74,76,0,24,10,20,-10,B,4,13e6f8t7RKXuxZ0JdaaJRG,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700082,yes
188,"Get It Together","Drake, Black Coffee, Jorja Smith",123,4A,72,2026-08-10,04:10,78,"rap, afro house, afro tech, house, uk r&b","Electronic, Hip Hop, R&B","More Life",2017-03-18,78,9,39,85,0,10,-9,F minor,4,7y6c07pgjZvtHI9kuMVqk1,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700045,yes
189,"Madiba Riddim","Drake",106,9B,52,2026-08-10,03:25,66,"rap","Hip Hop","More Life",2017-03-18,84,25,1,33,10,60,-10,G,4,76gUmNLXGQVOsGhfcshkFP,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700053,no
190,"Blem","Drake",98,6A,54,2026-08-10,03:36,66,"rap","Hip Hop","More Life",2017-03-18,73,5,0,38,0,10,-8,G minor,4,2XlHu0HcujBCkWMdIAvrqt,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700057,no
191,"4422","Drake, Sampha",112,10A,23,2026-08-10,03:06,67,"rap, indie soul","R&B, Hip Hop","More Life",2017-03-18,61,56,4,19,0,10,-12,B minor,4,2fkeWbM6iqTw7oGHTYm2lw,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700060,no
192,"Nothings Into Somethings","Drake",97,10A,23,2026-08-10,02:33,68,"rap","Hip Hop","More Life",2017-03-18,77,33,0,26,10,30,-8,B minor,4,6MbH1QiphMCPTqVEVC7UYi,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700074,no
193,"Lose You","Drake",90,12B,58,2026-08-10,05:05,68,"rap","Hip Hop","More Life",2017-03-18,53,70,0,38,30,30,-9,E,4,2Na0z2gfN67Rzf0vp74Wi3,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700071,yes
194,"SOMEBODY LOVES ME","PARTYNEXTDOOR, Drake",77,11B,51,2026-08-10,03:02,80,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,37,51,0,22,0,70,-6,A,3,2kZoOj1n5vk9BuF0sih58M,"OVO Sound",USLD91772034,yes
195,"RAINING IN HOUSTON","Drake",119,6A,53,2026-08-10,04:04,68,"rap","Hip Hop","$ome $exy $ongs 4 U",2025-02-14,47,79,0,44,0,10,-6,G minor,4,2xxb5zW09uwbgyLprALi9E,"OVO Sound",USLD91772029,yes
